Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10001 Metroliner by Zoltan Keri [kzoltan82], CC BY 2.0, https://library.ldraw.org/omr/sets/657
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10001 - 164557a.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 164557b.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 164565a.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 164565b.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 164565c.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 164565d.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 164565e.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - 2916pb03.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - main.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 1.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 10.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 11.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 2.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 3.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 4.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 5.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 6.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 7.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 8.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - minifig 9.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - platform.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - train 1.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - train 2.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10001 - train 3.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16ndis.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con10.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con2.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con24.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con28.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con4.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con5.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con6.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylc.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring28.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
