Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10159 City Airport by Zoltan Keri [kzoltan82], CC BY 2.0, https://library.ldraw.org/omr/sets/660
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10159 - 163155a.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 163155b.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 163156a.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 163156b.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 163156c.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 163156d.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 3596s99.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - 4867px3.dat | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - airplane.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - baggage car.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - baggage trailer.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - building.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - helicopter.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - main.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 1.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 2.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 3.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 4.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 5.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 6.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - minifig 7.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - radar - top.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - radar.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10159 - runway.ldr | Zoltán Kéri [Zoltank82] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16con16.dat | Vincent Messenet [Cheenzo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16con3.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
