Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10242 MINI Cooper by Magnus Forsberg [MagFors], CC BY 2.0, https://library.ldraw.org/library/omr/10242-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10242 - 10242-1-1.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-1-2.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-1-3.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-1-4.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-1-5.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-1.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-2-1.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-2-2.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-2-3.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-2-4.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-2.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-3-1.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-3-2.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-3-3.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-3-4.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-3-5.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-4-1.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-4-2.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-4-3.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-4-4.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-4-5.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-5-1.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-5-2.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-5-3.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242-5.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 10242.ldr | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10242 - 30151a.dat | Steve Bliss [sbliss] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16ndis.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16ring4.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tang.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylc.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
