Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42054 CLAAS XERION 5000 TRAC VC by Philippe Hurbain [Philo], CC BY 2.0, https://library.ldraw.org/library/omr/42054-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42054 - 18575.dat | Merlijn Wissink [Legolijntje] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - 18938.dat | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - 23798.dat | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - 23801.dat | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - 23948.dat | Rolf Osterthun [Rolf] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - 24316.dat | Owen Burgoyne [C3POwen] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - 55615.dat | Steve Bliss [sbliss] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - bonnet.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - bonnet2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - cabin.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - cabin2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - cabin3.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - cabin4.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - cabinside1.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - cabinside2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - chassis2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - chassis3.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - chassis4.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - chassis5.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - chassis6.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - counterweight.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - crane.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42054 - crane2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
