Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42066 Air Race Jet by Philippe Hurbain [Philo], CC BY 2.0, https://library.ldraw.org/library/omr/42066-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42066 - 18976.dat | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - 18977.dat | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - 24316.dat | Owen Burgoyne [C3POwen] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - 27940.dat | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - 32523p01.dat | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - 33299a.dat | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - 55615.dat | Steve Bliss [sbliss] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - bottomhatch1.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - bottomhatch2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - cabin.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - dashboard.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - frontside1.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - frontside2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - gearbox.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - gearbox2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - jet.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - main.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - nosetop.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - powerfuncmotorm-lq-1 subpart 1.ldr | LDCad | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - powerfuncmotorm-lq-1.ldr | LDCad | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - roof.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - seat.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - shiftplate.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - tail1.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - tail2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - tailside1.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - tailside2.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - technicflexaxle-1.ldr | LDCad | Redistributable under CCAL version 2.0 : see CAreadme.txt
42066 - windscreen.ldr | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
48/42066 - 1-24ring59.dat | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tang.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con0.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con10.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylc.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylh.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edgh.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring10.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring12.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring2.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring5.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring6.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring7.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring8.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8chrd.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cylo.dat | Tim Gould [timgould] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyls.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyls2.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
