Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42102 Mini CLAAS XERION by Max Martin Richter [MMR1988], CC BY 2.0, https://library.ldraw.org/library/omr/42102-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42102 - 33299b.dat | Santeri Piippo [arezey] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - 61904.dat | Philippe Hurbain [Philo] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - 92402.dat | Massimo Maso [Sirio] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - main.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - mini claas xerion.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - npeghol3.dat | Guy Vivan [guyvivan] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-10.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-11.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-12.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-14.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-16.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-18.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-19.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-21.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-21_substep_step-2.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-25.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-28.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-29.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-3.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-30.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-30_substep_step-2.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-31.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-32.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-33.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-34.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-35.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-36.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-4.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-41.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-41_substep_step-2.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-42.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-48.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-5.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42102 - substep_step-50.ldr | Max Martin Richter [MMR1988] | Redistributable under CCAL version 2.0 : see CAreadme.txt
