family,n,majority_count,share,metric
color,73,17,0.2328767123287671,global-semantic
interface,87,24,0.27586206896551724,global-semantic
graph-removal,73,44,0.6027397260273972,global-semantic
source-step,55,3,0.05454545454545454,global-semantic
evidence-limit,24,24,1.0,global-semantic
source-sequence,17,17,1.0,global-semantic
shape-match,67,1,0.014925373134328358,source-scoped-exact-key
distance,73,1,0.0136986301369863,source-scoped-exact-key
neighbors,73,1,0.0136986301369863,source-scoped-exact-key
coverage,17,1,0.058823529411764705,source-scoped-exact-key
restore-instance,58,1,0.017241379310344827,source-scoped-exact-key
