family,n,majority_count,majority_share,source_scoped
color,73,17,0.2328767123287671,False
shape-match,67,1,0.014925373134328358,True
distance,73,1,0.0136986301369863,True
interface,87,24,0.27586206896551724,False
neighbors,73,1,0.0136986301369863,True
graph-removal,73,44,0.6027397260273972,False
coverage,17,1,0.058823529411764705,True
evidence-limit,24,24,1.0,False
source-step,55,3,0.05454545454545454,False
source-sequence,17,17,1.0,False
restore-instance,58,1,0.017241379310344827,True
