Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10036 Pizza To Go by Robert Paciorek [bercik], CC BY 2.0, https://library.ldraw.org/omr/sets/658
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10036 - car.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10036 - main.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10036 - minifig 1.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10036 - minifig 2.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10036 - minifig 3.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10036 - pizzeria building.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16con16.dat | Vincent Messenet [Cheenzo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16con3.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16ring2.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con10.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con4.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylc.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4tang.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8chrd.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8con4.dat | Vincent Messenet [Cheenzo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cylo.dat | Tim Gould [timgould] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyls.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyls2.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring17.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring18.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring19.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring3.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring8.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring9.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4con10.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4con4.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cylc.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16chrd.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16cyli.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16cylo.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16edge.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16ndis.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4cylo.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ring1.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ring2.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ring3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ring4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8chrd.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8cylo.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8ndis.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8ring12.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con0.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con1.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con3.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cylc.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cylo.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cyls.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ering.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4rin13.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring1.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring13.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring19.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring7.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4cyli.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4edge.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4ring9.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-8chrd.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4cyli.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4cylo.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4disc.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4edge.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring6.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring9.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-16cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-8cyli.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-8cylo.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-8edge.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-16cyli.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cyls.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4ndis.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5ho10.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol8.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol9.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehole.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-5.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-7.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-9.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u2p.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u4a.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u8p.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-1.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-2p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
