Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10214 Tower Bridge by Orion Pobursky [OrionP], CC BY 2.0, https://library.ldraw.org/omr/sets/24
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10214 - cable-path-1.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - cables-path-2.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - cables-step4.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - cables-step5.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - cables-step6.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - cables-step7.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - cables.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - center-road-deck-half.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - center-road.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - coupe.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - double-decker-bus.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - lorry.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - main-step15.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - main-step16.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - main-step17.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - main.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - side-road.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - taxi.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - top-beam-step7.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - top-beam.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-roof-step11.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-roof-step12.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-roof-step9.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-roof.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step19.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step27.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step28.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step35.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step47.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step48.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step62.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step76.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step79.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower-step80.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10214 - tower.ldr | Orion Pobursky [OrionP] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16ndis.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tang.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylc.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4stud4.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8chrd.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cylo.dat | Tim Gould [timgould] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyls2.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring3.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring6.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8stud4.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
