Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10220 Volkswagen T1 Camper Van by Stan Isachenko [angmarec], CC BY 2.0, https://library.ldraw.org/omr/sets/1294
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10220 - main.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s007.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s009 hose l.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s009 hose r.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s010.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s012 s02.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s012 s04.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s012 s06.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s012 s08 rubber.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s012.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s014 l.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s014 r.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s015.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s016.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s017.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s019.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s024.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s026.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s032.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s033.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s037.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s038 s08.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s038.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s041.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s052.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s053.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s054.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s056 s06.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s056 s07.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s056.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s057 s06.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s057 s07.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s057.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s067a.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s067b.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s074.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s075 s04.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s075.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s076.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s077.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s082.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s083.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s086.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s090.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s091a.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s091b.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s092.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s093.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s095.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s098.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s099.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s100.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s101.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s102.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s103a.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s103b.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s104.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s105.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s106.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s107.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s108.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s109.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s110 s11.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s110.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s10 s2.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s10.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s13 s3.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s13.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s14 s6.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s14.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111 s15.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s111.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s112 s05.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s112 s16 l.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s112 s16 r.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s112.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s113 s02.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s113.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s114.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van s115.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
10220 - van.ldr | Stan Isachenko [angmarec] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16ndis.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tang.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con3.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylc.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring6.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4stud4.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4tang.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8chrd.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8con3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8cylo.dat | Tim Gould [timgould] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring13.dat | Evert-Jan Boer [ejboer] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring18.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
