Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42004 Mini Backhoe Loader by Tomas Kralicek [RabbiT_CZ], CC BY 2.0, https://library.ldraw.org/library/omr/42004-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42004 - backhoe.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - exhaust.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - front arm 1.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - front arm 2.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - front arm 3.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - front right side.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - mini backhoe loader.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - roof.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42004 - seat.ldr | Tomas Kralicek [RabbiT_CZ] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tang.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con3.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylh.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyls.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4edgh.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring10.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring12.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring2.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring6.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4ring7.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
