Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42020 Twin-Rotor Helicopter by Faramond Florent [Makou], CC BY 2.0, https://library.ldraw.org/library/omr/42020-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42020-1 - main.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sticker rescue left.dat | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sticker rescue right.dat | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub01.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub02.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub03.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub04.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub05.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub06.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub07.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub08.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
42020-1 - sub09.ldr | Faramond Florent [Makou] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-16chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cyli.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16edge.dat | Marc Klein [marckl] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-16tang.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4chrd.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4con0.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
